date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:49:48	179187/179187	---M--	200	added ('OK')	image/jpeg	etag:%226ef72e0b3c553fb6a3e0dbdbaba4c594%22	https://media.jaygroupplc.pl/hero_slide/v1/uploads/media/5d5e72573e38d/slider-puszcza.jpg	C:/My%20Web%20Sites/canwood/media.jaygroupplc.pl/hero_slide/v1/uploads/media/5d5e72573e38d/slider-puszcza.jpg	(from /en)
22:49:49	116189/116189	---M--	200	added ('OK')	image/jpeg	etag:%22e02ff3d7ab23aa87fb042399f6023a04%22	https://media.jaygroupplc.pl/hero_slide/v1/uploads/media/6371f4699ea08/r8a2672.jpg	C:/My%20Web%20Sites/canwood/media.jaygroupplc.pl/hero_slide/v1/uploads/media/6371f4699ea08/r8a2672.jpg	(from /en)
22:49:50	67750/67750	---M-Z	200	added ('OK')	text/html	date:Fri,%2026%20May%202023%2017:49:50%20GMT	/en/projects/perfect-82e	C:/My%20Web%20Sites/canwood//en/projects/perfect-82e.html	(from /en)
22:49:51	43793/43793	---M--	200	added ('OK')	image/jpeg	etag:%22efbdf6bf87b5008434eff91ac2001fce%22	https://media.jaygroupplc.pl/box/v1/uploads/media/5c0562e348de3/perfect-82e-00.jpg	C:/My%20Web%20Sites/canwood/media.jaygroupplc.pl/box/v1/uploads/media/5c0562e348de3/perfect-82e-00.jpg	(from /en)
22:49:52	64014/64014	---M-Z	200	added ('OK')	text/html	date:Fri,%2026%20May%202023%2017:49:52%20GMT	/en/projects/perfect-86e	C:/My%20Web%20Sites/canwood//en/projects/perfect-86e.html	(from /en)
22:49:52	36766/36766	---M--	200	added ('OK')	image/jpeg	etag:%226ec894058974868906a108c1a5678b48%22	https://media.jaygroupplc.pl/box/v1/uploads/media/5fa00afe60266/perfect86-1.jpg	C:/My%20Web%20Sites/canwood/media.jaygroupplc.pl/box/v1/uploads/media/5fa00afe60266/perfect86-1.jpg	(from /en)
22:49:54	63978/63978	---M-Z	200	added ('OK')	text/html	date:Fri,%2026%20May%202023%2017:49:53%20GMT	/en/projects/perfect-95e	C:/My%20Web%20Sites/canwood//en/projects/perfect-95e.html	(from /en)
22:49:54	34955/34955	---M--	200	added ('OK')	image/jpeg	etag:%22e3bb334637c98ae7874cefc8cc71493d%22	https://media.jaygroupplc.pl/box/v1/uploads/media/5fa00c1f46c92/01.jpg	C:/My%20Web%20Sites/canwood/media.jaygroupplc.pl/box/v1/uploads/media/5fa00c1f46c92/01.jpg	(from /en)
22:49:55	64786/64786	---M-Z	200	added ('OK')	text/html	date:Fri,%2026%20May%202023%2017:49:55%20GMT	/en/projects/perfect-101e	C:/My%20Web%20Sites/canwood//en/projects/perfect-101e.html	(from /en)
22:49:56	36424/36424	---M--	200	added ('OK')	image/jpeg	etag:%2265d5e52ab9f0788949d1e7ef2a005c34%22	https://media.jaygroupplc.pl/box/v1/uploads/media/5fa00cbc7e653/101-1.jpg	C:/My%20Web%20Sites/canwood/media.jaygroupplc.pl/box/v1/uploads/media/5fa00cbc7e653/101-1.jpg	(from /en)
22:49:57	65603/65603	---M-Z	200	added ('OK')	text/html	date:Fri,%2026%20May%202023%2017:49:57%20GMT	/en/projects/perfect-112e	C:/My%20Web%20Sites/canwood//en/projects/perfect-112e.html	(from /en)
22:49:58	43145/43145	---M--	200	added ('OK')	image/jpeg	etag:%2250f1ca6d6db7603cbee78f7e62635740%22	https://media.jaygroupplc.pl/box/v1/uploads/media/5fa00dffa4750/112-01.jpg	C:/My%20Web%20Sites/canwood/media.jaygroupplc.pl/box/v1/uploads/media/5fa00dffa4750/112-01.jpg	(from /en)
22:49:59	69308/69308	---M-Z	200	added ('OK')	text/html	date:Fri,%2026%20May%202023%2017:49:58%20GMT	/en/projects/perfect-113e	C:/My%20Web%20Sites/canwood//en/projects/perfect-113e.html	(from /en)
22:49:59	35196/35196	---M--	200	added ('OK')	image/jpeg	etag:%226a8321a179a9c6025f96a36f7fce5949%22	https://media.jaygroupplc.pl/box/v1/uploads/media/5c0564b95c124/perfect-113e-00.jpg	C:/My%20Web%20Sites/canwood/media.jaygroupplc.pl/box/v1/uploads/media/5c0564b95c124/perfect-113e-00.jpg	(from /en)
22:50:01	63949/63949	---M-Z	200	added ('OK')	text/html	date:Fri,%2026%20May%202023%2017:50:00%20GMT	/en/projects/perfect-113-1e	C:/My%20Web%20Sites/canwood//en/projects/perfect-113-1e.html	(from /en)
22:50:01	34049/34049	---M--	200	added ('OK')	image/jpeg	etag:%228173f965d74d26c040ef49a95d048b40%22	https://media.jaygroupplc.pl/box/v1/uploads/media/5fa00eb337617/01.jpg	C:/My%20Web%20Sites/canwood/media.jaygroupplc.pl/box/v1/uploads/media/5fa00eb337617/01.jpg	(from /en)
22:50:02	65871/65871	---M-Z	200	added ('OK')	text/html	date:Fri,%2026%20May%202023%2017:50:02%20GMT	/en/projects/perfect-119e-cube	C:/My%20Web%20Sites/canwood//en/projects/perfect-119e-cube.html	(from /en)
22:50:03	38917/38917	---M--	200	added ('OK')	image/jpeg	etag:%22f068c308f9da7ee5af1ce6486e4f96b2%22	https://media.jaygroupplc.pl/box/v1/uploads/media/5c056542428ee/perfect-119e-cube-00.jpg	C:/My%20Web%20Sites/canwood/media.jaygroupplc.pl/box/v1/uploads/media/5c056542428ee/perfect-119e-cube-00.jpg	(from /en)
22:50:04	64881/64881	---M-Z	200	added ('OK')	text/html	date:Fri,%2026%20May%202023%2017:50:03%20GMT	/en/projects/perfect-124-1e	C:/My%20Web%20Sites/canwood//en/projects/perfect-124-1e.html	(from /en)
